Film,Year,Rotten Tomatoes
The Godfather,1972,17
Citizen Kane,1941,2
Casablanca,1942,8
"The Godfather, Part II",1974,99
Singin' in the Rain,1952,52
Psycho,1960,88
Rear Window,1954,47
Apocalypse Now,1979,unranked
2001: A Space Odyssey,1968,unranked
Seven Samurai,1954,49
Vertigo,1958,unranked
Sunset Blvd,1950,21
Modern Times,1936,4
Lawrence of Arabia,1962,unranked
North by Northwest,1959,79
Star Wars,1977,unranked
Parasite,2019,6
Schindler's List,1993,unranked
Lord of the Rings: The Fellowship of the Ring,2001,unranked
Shawshank Redemption,1994,unranked
It's a Wonderful Life,1946,unranked
Pulp Fiction,1994,unranked
Avengers: Endgame,2019,7
City Lights,1931,unranked
One Flew Over the Cuckoo's Nest,1975,unranked
Goodfellas,1990,unranked
Raiders of the Lost Ark,1981,unranked
12 Angry Men,1957,unranked
The Silence of the Lambs,1991,unranked
Taxi Driver,1976,unranked
Saving Private Ryan,1998,unranked
E.T. the Extra Terrestrial,1982,48
Alien,1979,84
Spider-Man: Into the Spider-verse,2018,19
Blade Runner,1982,unranked
Double Indemnity,1944,54
The Dark Knight,2008,unranked
The Wizard of Oz,1939,3
Star Wars: Episode V- The Empire Strikes Back,1980,unranked
The Searchers,1956,unranked
Mad Max: Fury Road,2015,18
Inception,2010,unranked
Lord of the Rings: Return of the King,2003,unranked
The Matrix,1999,unranked
Fight Club,1999,unranked
Back to the Future,1985,unranked
It Happened One Night,1934,1
"The Good, the Bad, and the Ugly",1966,unranked
Lord of the Rings: The Two Towers,2002,unranked
All About Eve,1950,22
